Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS,Firefox 62.0,,2018-10-27 15:48:49,2018-10-27 15:50:19,1m - 29.640s,FAILED
,,,,,,
Test Cases/TC0_save_image_from_page_to_file,Firefox 62.0,,2018-10-27 15:48:50,2018-10-27 15:49:17,27.208s,PASSED
"Statement - tmpDir = java.nio.file.Paths.get(com.kms.katalon.core.configuration.RunConfiguration.getProjectDir(), ""tmp"")",Firefox 62.0,,2018-10-27 15:48:51,2018-10-27 15:48:51,0.014s,PASSED
Statement - java.nio.file.Files.createDirectories(tmpDir),Firefox 62.0,,2018-10-27 15:48:51,2018-10-27 15:48:51,0.060s,PASSED
"Statement - imageFile = tmpDir.resolve(""kazurayam.png"").toFile()",Firefox 62.0,,2018-10-27 15:48:51,2018-10-27 15:48:51,0.036s,PASSED
openBrowser,Firefox 62.0,,2018-10-27 15:48:51,2018-10-27 15:48:59,8.541s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-27 15:48:59,2018-10-27 15:49:12,12.973s,PASSED
Statement - testObject = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Katalon Discussion/img_Originator),Firefox 62.0,,2018-10-27 15:49:12,2018-10-27 15:49:12,0.069s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-27 15:49:12,2018-10-27 15:49:12,0.100s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.saveElementImage,Firefox 62.0,,2018-10-27 15:49:12,2018-10-27 15:49:14,1.271s,PASSED
delay,Firefox 62.0,,2018-10-27 15:49:14,2018-10-27 15:49:17,3.062s,PASSED
closeBrowser,Firefox 62.0,,2018-10-27 15:49:17,2018-10-27 15:49:17,0.473s,PASSED
,,,,,,
Test Cases/TC1_verify_images_are_similar,Firefox 62.0,,2018-10-27 15:49:17,2018-10-27 15:49:36,18.583s,PASSED
"Statement - tmpDir = java.nio.file.Paths.get(com.kms.katalon.core.configuration.RunConfiguration.getProjectDir(), ""tmp"")",Firefox 62.0,,2018-10-27 15:49:18,2018-10-27 15:49:18,0.004s,PASSED
